"state","time","bootstrap","value","L1"
"ESC",0,1,1,"E14"
"EPI",0,1,0,"E14"
"NPC",0,1,0,"E14"
"ESC",24,1,0.851851851851852,"E14"
"EPI",24,1,0.148148148148148,"E14"
"NPC",24,1,0,"E14"
"ESC",48,1,0.0263157894736842,"E14"
"EPI",48,1,0.973684210526316,"E14"
"NPC",48,1,0,"E14"
"ESC",72,1,0,"E14"
"EPI",72,1,0.923076923076923,"E14"
"NPC",72,1,0.0769230769230769,"E14"
"ESC",96,1,0,"E14"
"EPI",96,1,0,"E14"
"NPC",96,1,1,"E14"
"ESC",120,1,0,"E14"
"EPI",120,1,0.0363636363636364,"E14"
"NPC",120,1,0.963636363636364,"E14"
"ESC",168,1,0,"E14"
"EPI",168,1,0.0540540540540541,"E14"
"NPC",168,1,0.945945945945946,"E14"
"ESC",0,2,1,"E14"
"EPI",0,2,0,"E14"
"NPC",0,2,0,"E14"
"ESC",24,2,0.731707317073171,"E14"
"EPI",24,2,0.268292682926829,"E14"
"NPC",24,2,0,"E14"
"ESC",48,2,0.0612244897959184,"E14"
"EPI",48,2,0.938775510204082,"E14"
"NPC",48,2,0,"E14"
"ESC",72,2,0,"E14"
"EPI",72,2,0.829268292682927,"E14"
"NPC",72,2,0.170731707317073,"E14"
"ESC",96,2,0,"E14"
"EPI",96,2,0,"E14"
"NPC",96,2,1,"E14"
"ESC",120,2,0,"E14"
"EPI",120,2,0.0754716981132075,"E14"
"NPC",120,2,0.924528301886792,"E14"
"ESC",168,2,0,"E14"
"EPI",168,2,0,"E14"
"NPC",168,2,1,"E14"
"ESC",0,3,1,"E14"
"EPI",0,3,0,"E14"
"NPC",0,3,0,"E14"
"ESC",24,3,0.688888888888889,"E14"
"EPI",24,3,0.311111111111111,"E14"
"NPC",24,3,0,"E14"
"ESC",48,3,0.0465116279069767,"E14"
"EPI",48,3,0.953488372093023,"E14"
"NPC",48,3,0,"E14"
"ESC",72,3,0,"E14"
"EPI",72,3,0.826923076923077,"E14"
"NPC",72,3,0.173076923076923,"E14"
"ESC",96,3,0.1,"E14"
"EPI",96,3,0,"E14"
"NPC",96,3,0.9,"E14"
"ESC",120,3,0,"E14"
"EPI",120,3,0.0625,"E14"
"NPC",120,3,0.9375,"E14"
"ESC",168,3,0,"E14"
"EPI",168,3,0.0227272727272727,"E14"
"NPC",168,3,0.977272727272727,"E14"
"ESC",0,4,1,"E14"
"EPI",0,4,0,"E14"
"NPC",0,4,0,"E14"
"ESC",24,4,0.970588235294118,"E14"
"EPI",24,4,0.0294117647058824,"E14"
"NPC",24,4,0,"E14"
"ESC",48,4,0.159090909090909,"E14"
"EPI",48,4,0.840909090909091,"E14"
"NPC",48,4,0,"E14"
"ESC",72,4,0,"E14"
"EPI",72,4,1,"E14"
"NPC",72,4,0,"E14"
"ESC",96,4,0.133333333333333,"E14"
"EPI",96,4,0.0666666666666667,"E14"
"NPC",96,4,0.8,"E14"
"ESC",120,4,0,"E14"
"EPI",120,4,0.19047619047619,"E14"
"NPC",120,4,0.80952380952381,"E14"
"ESC",168,4,0,"E14"
"EPI",168,4,0.0181818181818182,"E14"
"NPC",168,4,0.981818181818182,"E14"
"ESC",0,5,1,"E14"
"EPI",0,5,0,"E14"
"NPC",0,5,0,"E14"
"ESC",24,5,0.538461538461538,"E14"
"EPI",24,5,0.461538461538462,"E14"
"NPC",24,5,0,"E14"
"ESC",48,5,0.0217391304347826,"E14"
"EPI",48,5,0.978260869565217,"E14"
"NPC",48,5,0,"E14"
"ESC",72,5,0,"E14"
"EPI",72,5,0.904761904761905,"E14"
"NPC",72,5,0.0952380952380952,"E14"
"ESC",96,5,0,"E14"
"EPI",96,5,0,"E14"
"NPC",96,5,1,"E14"
"ESC",120,5,0,"E14"
"EPI",120,5,0.0571428571428571,"E14"
"NPC",120,5,0.942857142857143,"E14"
"ESC",168,5,0,"E14"
"EPI",168,5,0.0212765957446809,"E14"
"NPC",168,5,0.978723404255319,"E14"
"ESC",0,6,1,"E14"
"EPI",0,6,0,"E14"
"NPC",0,6,0,"E14"
"ESC",24,6,0.739130434782609,"E14"
"EPI",24,6,0.260869565217391,"E14"
"NPC",24,6,0,"E14"
"ESC",48,6,0.0217391304347826,"E14"
"EPI",48,6,0.978260869565217,"E14"
"NPC",48,6,0,"E14"
"ESC",72,6,0,"E14"
"EPI",72,6,0.85,"E14"
"NPC",72,6,0.15,"E14"
"ESC",96,6,0,"E14"
"EPI",96,6,0,"E14"
"NPC",96,6,1,"E14"
"ESC",120,6,0,"E14"
"EPI",120,6,0.0476190476190476,"E14"
"NPC",120,6,0.952380952380952,"E14"
"ESC",168,6,0,"E14"
"EPI",168,6,0,"E14"
"NPC",168,6,1,"E14"
"ESC",0,7,1,"E14"
"EPI",0,7,0,"E14"
"NPC",0,7,0,"E14"
"ESC",24,7,0.555555555555556,"E14"
"EPI",24,7,0.444444444444444,"E14"
"NPC",24,7,0,"E14"
"ESC",48,7,0.08,"E14"
"EPI",48,7,0.92,"E14"
"NPC",48,7,0,"E14"
"ESC",72,7,0,"E14"
"EPI",72,7,0.9375,"E14"
"NPC",72,7,0.0625,"E14"
"ESC",96,7,0,"E14"
"EPI",96,7,0,"E14"
"NPC",96,7,1,"E14"
"ESC",120,7,0,"E14"
"EPI",120,7,0.179487179487179,"E14"
"NPC",120,7,0.82051282051282,"E14"
"ESC",168,7,0,"E14"
"EPI",168,7,0,"E14"
"NPC",168,7,1,"E14"
"ESC",0,8,1,"E14"
"EPI",0,8,0,"E14"
"NPC",0,8,0,"E14"
"ESC",24,8,0.444444444444444,"E14"
"EPI",24,8,0.555555555555556,"E14"
"NPC",24,8,0,"E14"
"ESC",48,8,0.0212765957446809,"E14"
"EPI",48,8,0.978723404255319,"E14"
"NPC",48,8,0,"E14"
"ESC",72,8,0,"E14"
"EPI",72,8,0.777777777777778,"E14"
"NPC",72,8,0.222222222222222,"E14"
"ESC",96,8,0.05,"E14"
"EPI",96,8,0,"E14"
"NPC",96,8,0.95,"E14"
"ESC",120,8,0,"E14"
"EPI",120,8,0.135135135135135,"E14"
"NPC",120,8,0.864864864864865,"E14"
"ESC",168,8,0,"E14"
"EPI",168,8,0.0222222222222222,"E14"
"NPC",168,8,0.977777777777778,"E14"
"ESC",0,9,1,"E14"
"EPI",0,9,0,"E14"
"NPC",0,9,0,"E14"
"ESC",24,9,0.675675675675676,"E14"
"EPI",24,9,0.324324324324324,"E14"
"NPC",24,9,0,"E14"
"ESC",48,9,0.027027027027027,"E14"
"EPI",48,9,0.972972972972973,"E14"
"NPC",48,9,0,"E14"
"ESC",72,9,0,"E14"
"EPI",72,9,0.928571428571429,"E14"
"NPC",72,9,0.0714285714285714,"E14"
"ESC",96,9,0,"E14"
"EPI",96,9,0,"E14"
"NPC",96,9,1,"E14"
"ESC",120,9,0,"E14"
"EPI",120,9,0.0238095238095238,"E14"
"NPC",120,9,0.976190476190476,"E14"
"ESC",168,9,0,"E14"
"EPI",168,9,0.037037037037037,"E14"
"NPC",168,9,0.962962962962963,"E14"
"ESC",0,10,1,"E14"
"EPI",0,10,0,"E14"
"NPC",0,10,0,"E14"
"ESC",24,10,0.837209302325581,"E14"
"EPI",24,10,0.162790697674419,"E14"
"NPC",24,10,0,"E14"
"ESC",48,10,0,"E14"
"EPI",48,10,1,"E14"
"NPC",48,10,0,"E14"
"ESC",72,10,0,"E14"
"EPI",72,10,0.826086956521739,"E14"
"NPC",72,10,0.173913043478261,"E14"
"ESC",96,10,0,"E14"
"EPI",96,10,0,"E14"
"NPC",96,10,1,"E14"
"ESC",120,10,0,"E14"
"EPI",120,10,0.0227272727272727,"E14"
"NPC",120,10,0.977272727272727,"E14"
"ESC",168,10,0,"E14"
"EPI",168,10,0,"E14"
"NPC",168,10,1,"E14"
"ESC",0,1,1,"R1"
"EPI",0,1,0,"R1"
"NPC",0,1,0,"R1"
"ESC",24,1,1,"R1"
"EPI",24,1,0,"R1"
"NPC",24,1,0,"R1"
"ESC",48,1,0,"R1"
"EPI",48,1,1,"R1"
"NPC",48,1,0,"R1"
"ESC",72,1,0,"R1"
"EPI",72,1,1,"R1"
"NPC",72,1,0,"R1"
"ESC",96,1,0,"R1"
"EPI",96,1,0.290322580645161,"R1"
"NPC",96,1,0.709677419354839,"R1"
"ESC",120,1,0,"R1"
"EPI",120,1,0.1,"R1"
"NPC",120,1,0.9,"R1"
"ESC",168,1,0,"R1"
"EPI",168,1,0,"R1"
"NPC",168,1,1,"R1"
"ESC",0,2,1,"R1"
"EPI",0,2,0,"R1"
"NPC",0,2,0,"R1"
"ESC",24,2,0.941176470588235,"R1"
"EPI",24,2,0.0588235294117647,"R1"
"NPC",24,2,0,"R1"
"ESC",48,2,0,"R1"
"EPI",48,2,0.976744186046512,"R1"
"NPC",48,2,0.0232558139534884,"R1"
"ESC",72,2,0,"R1"
"EPI",72,2,1,"R1"
"NPC",72,2,0,"R1"
"ESC",96,2,0,"R1"
"EPI",96,2,0.590909090909091,"R1"
"NPC",96,2,0.409090909090909,"R1"
"ESC",120,2,0,"R1"
"EPI",120,2,0.0256410256410256,"R1"
"NPC",120,2,0.974358974358974,"R1"
"ESC",168,2,0,"R1"
"EPI",168,2,0,"R1"
"NPC",168,2,1,"R1"
"ESC",0,3,1,"R1"
"EPI",0,3,0,"R1"
"NPC",0,3,0,"R1"
"ESC",24,3,0.75,"R1"
"EPI",24,3,0.25,"R1"
"NPC",24,3,0,"R1"
"ESC",48,3,0.0172413793103448,"R1"
"EPI",48,3,0.982758620689655,"R1"
"NPC",48,3,0,"R1"
"ESC",72,3,0,"R1"
"EPI",72,3,1,"R1"
"NPC",72,3,0,"R1"
"ESC",96,3,0,"R1"
"EPI",96,3,0.178571428571429,"R1"
"NPC",96,3,0.821428571428571,"R1"
"ESC",120,3,0,"R1"
"EPI",120,3,0.0689655172413793,"R1"
"NPC",120,3,0.931034482758621,"R1"
"ESC",168,3,0,"R1"
"EPI",168,3,0,"R1"
"NPC",168,3,1,"R1"
"ESC",0,4,1,"R1"
"EPI",0,4,0,"R1"
"NPC",0,4,0,"R1"
"ESC",24,4,0.810810810810811,"R1"
"EPI",24,4,0.189189189189189,"R1"
"NPC",24,4,0,"R1"
"ESC",48,4,0.0285714285714286,"R1"
"EPI",48,4,0.885714285714286,"R1"
"NPC",48,4,0.0857142857142857,"R1"
"ESC",72,4,0,"R1"
"EPI",72,4,1,"R1"
"NPC",72,4,0,"R1"
"ESC",96,4,0,"R1"
"EPI",96,4,0.266666666666667,"R1"
"NPC",96,4,0.733333333333333,"R1"
"ESC",120,4,0,"R1"
"EPI",120,4,0,"R1"
"NPC",120,4,1,"R1"
"ESC",168,4,0,"R1"
"EPI",168,4,0,"R1"
"NPC",168,4,1,"R1"
"ESC",0,5,1,"R1"
"EPI",0,5,0,"R1"
"NPC",0,5,0,"R1"
"ESC",24,5,0.794117647058823,"R1"
"EPI",24,5,0.205882352941176,"R1"
"NPC",24,5,0,"R1"
"ESC",48,5,0.0208333333333333,"R1"
"EPI",48,5,0.9375,"R1"
"NPC",48,5,0.0416666666666667,"R1"
"ESC",72,5,0,"R1"
"EPI",72,5,1,"R1"
"NPC",72,5,0,"R1"
"ESC",96,5,0,"R1"
"EPI",96,5,0.210526315789474,"R1"
"NPC",96,5,0.789473684210526,"R1"
"ESC",120,5,0,"R1"
"EPI",120,5,0.0588235294117647,"R1"
"NPC",120,5,0.941176470588235,"R1"
"ESC",168,5,0,"R1"
"EPI",168,5,0,"R1"
"NPC",168,5,1,"R1"
"ESC",0,6,1,"R1"
"EPI",0,6,0,"R1"
"NPC",0,6,0,"R1"
"ESC",24,6,0.666666666666667,"R1"
"EPI",24,6,0.333333333333333,"R1"
"NPC",24,6,0,"R1"
"ESC",48,6,0.0212765957446809,"R1"
"EPI",48,6,0.936170212765957,"R1"
"NPC",48,6,0.0425531914893617,"R1"
"ESC",72,6,0,"R1"
"EPI",72,6,1,"R1"
"NPC",72,6,0,"R1"
"ESC",96,6,0,"R1"
"EPI",96,6,0.2,"R1"
"NPC",96,6,0.8,"R1"
"ESC",120,6,0,"R1"
"EPI",120,6,0.0769230769230769,"R1"
"NPC",120,6,0.923076923076923,"R1"
"ESC",168,6,0,"R1"
"EPI",168,6,0,"R1"
"NPC",168,6,1,"R1"
"ESC",0,7,1,"R1"
"EPI",0,7,0,"R1"
"NPC",0,7,0,"R1"
"ESC",24,7,0.708333333333333,"R1"
"EPI",24,7,0.291666666666667,"R1"
"NPC",24,7,0,"R1"
"ESC",48,7,0.0222222222222222,"R1"
"EPI",48,7,0.977777777777778,"R1"
"NPC",48,7,0,"R1"
"ESC",72,7,0,"R1"
"EPI",72,7,1,"R1"
"NPC",72,7,0,"R1"
"ESC",96,7,0,"R1"
"EPI",96,7,0.3,"R1"
"NPC",96,7,0.7,"R1"
"ESC",120,7,0,"R1"
"EPI",120,7,0.0789473684210526,"R1"
"NPC",120,7,0.921052631578947,"R1"
"ESC",168,7,0,"R1"
"EPI",168,7,0,"R1"
"NPC",168,7,1,"R1"
"ESC",0,8,1,"R1"
"EPI",0,8,0,"R1"
"NPC",0,8,0,"R1"
"ESC",24,8,0.897435897435897,"R1"
"EPI",24,8,0.102564102564103,"R1"
"NPC",24,8,0,"R1"
"ESC",48,8,0,"R1"
"EPI",48,8,0.980392156862745,"R1"
"NPC",48,8,0.0196078431372549,"R1"
"ESC",72,8,0,"R1"
"EPI",72,8,1,"R1"
"NPC",72,8,0,"R1"
"ESC",96,8,0,"R1"
"EPI",96,8,0.5,"R1"
"NPC",96,8,0.5,"R1"
"ESC",120,8,0,"R1"
"EPI",120,8,0.0588235294117647,"R1"
"NPC",120,8,0.941176470588235,"R1"
"ESC",168,8,0,"R1"
"EPI",168,8,0,"R1"
"NPC",168,8,1,"R1"
"ESC",0,9,1,"R1"
"EPI",0,9,0,"R1"
"NPC",0,9,0,"R1"
"ESC",24,9,0.875,"R1"
"EPI",24,9,0.125,"R1"
"NPC",24,9,0,"R1"
"ESC",48,9,0.0588235294117647,"R1"
"EPI",48,9,0.911764705882353,"R1"
"NPC",48,9,0.0294117647058824,"R1"
"ESC",72,9,0,"R1"
"EPI",72,9,1,"R1"
"NPC",72,9,0,"R1"
"ESC",96,9,0,"R1"
"EPI",96,9,0.5,"R1"
"NPC",96,9,0.5,"R1"
"ESC",120,9,0,"R1"
"EPI",120,9,0.0943396226415094,"R1"
"NPC",120,9,0.905660377358491,"R1"
"ESC",168,9,0,"R1"
"EPI",168,9,0,"R1"
"NPC",168,9,1,"R1"
"ESC",0,10,1,"R1"
"EPI",0,10,0,"R1"
"NPC",0,10,0,"R1"
"ESC",24,10,0.958333333333333,"R1"
"EPI",24,10,0.0416666666666667,"R1"
"NPC",24,10,0,"R1"
"ESC",48,10,0,"R1"
"EPI",48,10,0.978260869565217,"R1"
"NPC",48,10,0.0217391304347826,"R1"
"ESC",72,10,0,"R1"
"EPI",72,10,0.9,"R1"
"NPC",72,10,0.1,"R1"
"ESC",96,10,0,"R1"
"EPI",96,10,0.173913043478261,"R1"
"NPC",96,10,0.826086956521739,"R1"
"ESC",120,10,0,"R1"
"EPI",120,10,0.027027027027027,"R1"
"NPC",120,10,0.972972972972973,"R1"
"ESC",168,10,0,"R1"
"EPI",168,10,0,"R1"
"NPC",168,10,1,"R1"
